name,year,selling_price,km_driven,fuel,seller_type
Hyundai i20 Active 1.2 S,2017,595000,33100,Petrol,Individual
Hyundai EON Era Plus,2014,190000,40000,Petrol,Individual
Hyundai Santro GLS I - Euro I,1999,50000,120000,Petrol,Individual
Maruti Wagon R LXI Minor,2007,95000,80000,Petrol,Individual
Tata Safari Storme VX,2016,1000000,70000,Diesel,Individual
Mahindra Scorpio REV 116,2006,220000,220000,Petrol,Individual
Mahindra Bolero SLX,2010,400000,50000,Diesel,Individual
Datsun GO Plus A,2015,315000,45000,Petrol,Individual
Toyota Fortuner 4x4 MT,2014,1000000,110000,Diesel,Individual
Ford Ecosport 1.5 DV5 MT Titanium,2014,500000,49000,Diesel,Individual
Mahindra XUV500 W11 AT BSIV,2018,1600000,35000,Diesel,Individual
Mahindra Supro VX 8 Str,2017,500000,160000,Diesel,Individual
Maruti Alto LX,2007,70000,180000,Petrol,Individual
Maruti 800 AC,2007,105000,60000,Petrol,Individual
Ford Endeavour 2.5L 4X2 MT,2008,400000,110000,Diesel,Individual
Maruti Wagon R LXI,2004,80000,60000,Petrol,Individual
Maruti Alto 800 VXI,2016,300000,30000,Petrol,Individual
Mahindra KUV 100 D75 K2,2017,409999,40000,Diesel,Individual
Maruti Swift Glam,2009,250000,70000,Petrol,Individual
Tata New Safari DICOR 2.2 EX 4x2,2010,250000,120000,Diesel,Individual
Maruti Swift Dzire VDI,2012,215000,80000,Diesel,Individual
Toyota Fortuner 4x4 MT,2015,1400000,120000,Diesel,Individual
Honda Brio 1.2 VX MT,2018,475000,20000,Petrol,Individual
Honda Brio 1.2 VX MT,2018,475000,22000,Petrol,Individual
Chevrolet Spark 1.0 LS,2008,75000,35000,Petrol,Individual
Chevrolet Sail Hatchback LS ABS,2013,200000,120000,Diesel,Individual
Tata Tiago NRG Petrol,2019,575000,8000,Petrol,Individual
Maruti Ritz VDi,2011,150000,40000,Diesel,Individual
Maruti Vitara Brezza ZDi Plus,2018,850000,10000,Diesel,Individual
Hyundai Santro Era,2019,350000,30000,Petrol,Individual
Ford Endeavour 2.5L 4X2 MT,2011,550000,54000,Diesel,Individual
Hyundai Verna 1.4 VTVT,2017,330000,80577,Petrol,Individual
Honda City i-DTEC V,2017,1044999,25000,Diesel,Individual
Hyundai Verna 1.6 CRDI,2011,300000,127500,Diesel,Individual
Hyundai EON D Lite Plus,2015,235000,40903,Petrol,Dealer
Ford Figo Petrol Titanium,2011,120000,60000,Petrol,Individual
Maruti Wagon R VXI,2004,130000,46000,Petrol,Individual
Ford Endeavour 4x4 XLT,2004,275000,22288,Diesel,Dealer
Volkswagen Jetta 2.0 TDI Trendline,2011,270000,180000,Diesel,Individual
Volkswagen Polo 1.5 TDI Highline,2015,500000,30000,Diesel,Individual
Hyundai Grand i10 Sportz,2015,400000,61690,Petrol,Dealer
Hyundai i20 Asta 1.2,2015,600000,64484,Petrol,Dealer
Audi Q5 2.0 TDI,2012,1350000,90000,Diesel,Individual
Renault Duster 85PS Diesel RxE,2013,400000,75976,Diesel,Dealer
Ford Figo Diesel Titanium,2011,220000,70000,Diesel,Individual
Honda Brio E MT,2012,300000,85962,Petrol,Dealer
Maruti Omni E MPI STD BS IV,2018,250000,120000,Petrol,Individual
Honda Mobilio V i DTEC,2015,600000,120000,Diesel,Individual
Honda Brio S Option AT,2012,285000,75000,Petrol,Individual
Honda Accord 2.4 MT,2009,350000,57035,Petrol,Dealer
Mahindra Bolero SLX,2011,170000,70000,Diesel,Individual
Ford Figo 1.2P Ambiente MT,2015,229999,45000,Petrol,Individual
Mahindra XUV500 W6 2WD,2013,500000,72104,Diesel,Dealer
Tata Nano Lx,2011,75000,15000,Petrol,Individual
Hyundai i20 Active 1.2 SX,2016,600000,30000,Petrol,Individual
Tata Indigo LS Dicor,2011,220000,80000,Diesel,Individual
Tata Indica Vista Terra 1.4 TDI,2009,150000,164000,Diesel,Individual
Maruti Alto LX,2006,65000,124439,Petrol,Individual
Maruti Zen VXI,2006,120000,77000,Petrol,Individual
Maruti Swift Dzire VDI,2014,240000,90000,Diesel,Individual
Renault KWID 1.0 RXT Optional,2017,390000,30000,Petrol,Individual
Chevrolet Beat LS,2012,180000,50000,Petrol,Individual
Maruti Swift VDI,2012,320000,80000,Diesel,Individual
Maruti Alto 800 LXI,2018,310000,5000,Petrol,Individual
Maruti Wagon R AMT VXI,2018,420000,24000,Petrol,Individual
Tata Tiago NRG Petrol,2019,550000,10000,Petrol,Individual
Maruti Ertiga SHVS VDI,2016,550000,78000,Diesel,Individual
Mahindra TUV 300 T4 Plus,2018,760000,50000,Diesel,Individual
Maruti 800 AC BSII,2001,43000,100000,Petrol,Individual
Maruti Omni MPI STD BSIV,2018,250000,20000,Petrol,Individual
Hyundai Santro Magna BSIV,2019,500000,1250,Petrol,Individual
Tata Zest Revotron 1.2 XT,2015,380000,17152,Petrol,Individual
Mahindra XUV500 W11 Option AT AWD,2019,1850000,5000,Diesel,Individual
Volkswagen Polo Diesel Trendline 1.2L,2012,350000,77000,Diesel,Individual
Hyundai Verna CRDi,2008,195000,90000,Diesel,Individual
Chevrolet Beat LS,2011,225000,80000,Petrol,Individual
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1125000,65000,Diesel,Individual
Tata Indica Vista Quadrajet LX,2011,133000,80000,Diesel,Individual
Hyundai EON Era Plus,2013,200000,24005,Petrol,Individual
Maruti Vitara Brezza ZDi Plus,2018,940000,20000,Diesel,Individual
Renault Duster 85PS Diesel RxL,2014,400000,120000,Diesel,Individual
Hyundai i10 Era 1.1,2009,120000,120000,Petrol,Individual
Maruti Swift Dzire ZDI,2015,625000,80000,Diesel,Individual
Maruti Swift 1.3 VXi,2005,110000,80000,Petrol,Individual
Renault Duster 110PS Diesel RxZ,2012,490000,100000,Diesel,Individual
Maruti Alto LX,2009,140000,120000,Petrol,Individual
Ford Figo Diesel ZXI,2011,175000,149000,Diesel,Individual
Maruti Wagon R LXI BSIII,2005,90000,65000,Petrol,Individual
Maruti Swift Ldi BSIV,2009,275000,100000,Diesel,Individual
Volkswagen Vento Diesel Highline,2011,300000,65000,Diesel,Individual
Datsun GO Plus T Option BSIV,2018,270000,19000,Petrol,Individual
Chevrolet Beat LT,2010,130000,80000,Petrol,Individual
Maruti Alto K10 VXI Airbag,2015,275000,30000,Petrol,Individual
Maruti Swift VDI,2012,352000,109000,Diesel,Individual
Hyundai EON LPG Magna Plus,2012,180000,90000,LPG,Individual
Maruti Alto LX,2012,150000,90000,Petrol,Individual
Volkswagen Vento Diesel Highline,2011,300000,65000,Diesel,Individual
Maruti Swift Vdi BSIII,2010,300000,110000,Diesel,Individual
Mahindra Bolero DI DX 7 Seater,2007,225000,120000,Diesel,Individual
Honda Mobilio V i DTEC,2014,600000,44000,Diesel,Individual
Maruti Ertiga BSIV ZXI,2015,500000,80000,Petrol,Individual
Honda BR-V i-VTEC S MT,2018,900000,5000,Petrol,Individual
Hyundai i20 Magna 1.2,2016,600000,61000,Petrol,Individual
Toyota Etios VD,2011,450000,100000,Diesel,Individual
Hyundai i10 Era 1.1,2009,270000,27633,Petrol,Individual
Maruti Swift Vdi BSIII,2010,310000,100000,Diesel,Individual
Hyundai Santro Xing GLS Audio LPG,2012,250000,100000,LPG,Individual
Ford Figo 1.2P Titanium MT,2019,700000,12586,Petrol,Dealer
Fiat Avventura Urban Cross 1.3 Multijet Emotion,2018,650000,38083,Diesel,Dealer
Ford Figo Diesel ZXI,2012,400000,55328,Diesel,Dealer
Ford Figo Diesel Titanium,2012,425000,81632,Diesel,Dealer
Ford Aspire Titanium Diesel BSIV,2016,600000,155201,Diesel,Dealer
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,600000,93283,Diesel,Dealer
Maruti Swift Ldi BSIII,2009,300000,217871,Diesel,Dealer
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,450000,90165,Diesel,Dealer
Ford Ecosport 1.5 DV5 MT Titanium,2014,750000,101504,Diesel,Dealer
Ford Figo Titanium Diesel BSIV,2010,325000,86017,Diesel,Dealer
Mahindra XUV500 W8 2WD,2013,900000,85036,Diesel,Dealer
Ford Ikon 1.3L Rocam Flair,2006,180000,91086,Petrol,Dealer
Fiat Punto 1.3 Emotion,2013,350000,160254,Diesel,Dealer
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,600000,125531,Diesel,Dealer
Honda WR-V i-DTEC V,2019,900000,60000,Diesel,Individual
Skoda Laura L n K 1.9 PD,2006,350000,100000,Diesel,Individual
Maruti Ritz LDi,2013,280000,90000,Diesel,Individual
Mahindra Xylo D2,2009,225000,120000,Diesel,Individual
Honda City i DTEC S,2014,520000,82000,Diesel,Individual
Mahindra Scorpio 1.99 S4,2016,509999,60000,Diesel,Individual
Maruti Baleno Alpha 1.2,2019,556000,24000,Petrol,Individual
Tata Indigo Grand Dicor,2014,225000,120000,Diesel,Individual
Honda Amaze EX i-Dtech,2013,325000,65000,Diesel,Dealer
Maruti Swift VDI,2013,365000,65000,Diesel,Dealer
Hyundai Creta 1.6 CRDi SX Plus,2015,850000,84000,Diesel,Dealer
Toyota Etios GD SP,2013,350000,75000,Diesel,Dealer
Maruti Swift VDI,2007,225000,50000,Diesel,Dealer
Maruti Alto LX,2011,135000,50000,Petrol,Individual
Maruti Wagon R LXI Minor,2007,140000,49000,Petrol,Dealer
Maruti SX4 S Cross DDiS 320 Delta,2016,665000,560000,Diesel,Dealer
Renault KWID RXT,2015,275000,14365,Petrol,Dealer
Toyota Fortuner 2.8 4WD AT BSIV,2017,2750000,41000,Diesel,Individual
Hyundai Verna 1.6 SX,2013,484999,65000,Diesel,Dealer
Maruti Ciaz VDi Option SHVS,2015,565000,65000,Diesel,Dealer
Maruti Swift Dzire VDI,2013,425000,61083,Diesel,Dealer
Toyota Innova 2.5 VX (Diesel) 8 Seater,2013,925000,75000,Diesel,Individual
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,2012,565000,72000,Diesel,Dealer
Renault Duster 110PS Diesel RxL,2014,525000,65000,Diesel,Dealer
Hyundai Tucson 2.0 e-VGT 2WD MT,2017,1650000,55000,Diesel,Dealer
Hyundai EON Era Plus,2015,295000,21000,Petrol,Dealer
Jaguar XF 5.0 Litre V8 Petrol,2012,2050000,66363,Petrol,Dealer
Hyundai Creta 1.6 VTVT AT SX Plus,2018,1475000,11700,Petrol,Dealer
Hyundai Verna VTVT 1.6 AT SX Option,2017,1100000,10000,Petrol,Individual
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2014,4400000,100000,Diesel,Individual
Maruti Swift ZXI BSIV,2016,670000,7104,Petrol,Trustmark Dealer
Maruti S-Cross Zeta DDiS 200 SH,2015,750000,45974,Diesel,Trustmark Dealer
Hyundai Verna 1.6 VTVT SX,2015,760000,55340,Petrol,Trustmark Dealer
Volkswagen Polo GTI,2017,850000,20000,Petrol,Dealer
Renault Pulse RxL,2015,390000,61585,Diesel,Trustmark Dealer
Maruti Celerio VXI AMT BSIV,2016,450000,39415,Petrol,Trustmark Dealer
Honda Brio V MT,2014,425000,29654,Petrol,Trustmark Dealer
Maruti Baleno Alpha 1.3,2016,770000,64672,Diesel,Trustmark Dealer
Hyundai Creta 1.6 SX Automatic Diesel,2015,1150000,54634,Diesel,Trustmark Dealer
Honda City i VTEC V,2015,775000,66521,Petrol,Trustmark Dealer
Toyota Innova Crysta 2.4 GX AT,2018,1725000,23974,Diesel,Dealer
BMW 3 Series 320d Luxury Line,2016,2150000,43000,Diesel,Dealer
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer
Mercedes-Benz C-Class Progressive C 220d,2018,3800000,10000,Diesel,Dealer
Audi A4 3.0 TDI Quattro,2013,1580000,86000,Diesel,Dealer
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer
Hyundai Creta 1.6 CRDi SX,2016,535000,52600,Diesel,Individual
Maruti SX4 Vxi BSIV,2012,225000,110000,Petrol,Individual
Hyundai Grand i10 1.2 Kappa Magna AT,2017,550000,19890,Petrol,Dealer
Maruti Swift ZXI BSIV,2016,670000,7104,Petrol,Trustmark Dealer
Maruti Ertiga VXI,2015,625000,11918,Petrol,Trustmark Dealer
Hyundai Grand i10 Magna AT,2017,520000,10510,Petrol,Dealer
Chevrolet Beat LT Option,2016,239000,41000,Petrol,Dealer
Toyota Fortuner 4x2 AT,2017,2600000,47162,Diesel,Trustmark Dealer
Maruti S-Cross Zeta DDiS 200 SH,2015,750000,45974,Diesel,Trustmark Dealer
Hyundai i10 Magna,2012,229999,49824,Petrol,Dealer
Audi A6 2.0 TDI Premium Plus,2013,1300000,58500,Diesel,Dealer
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer
Hyundai Verna 1.6 VTVT SX,2015,760000,55340,Petrol,Trustmark Dealer
Maruti Swift Dzire VDI,2017,600000,46507,Diesel,Trustmark Dealer
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer
Mercedes-Benz C-Class Progressive C 220d,2018,3800000,10000,Diesel,Dealer
Audi A4 3.0 TDI Quattro,2013,1580000,86000,Diesel,Dealer
BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer
Hyundai Creta 1.6 CRDi SX,2016,535000,52600,Diesel,Individual
Maruti SX4 Vxi BSIV,2012,225000,110000,Petrol,Individual
Hyundai Grand i10 1.2 Kappa Magna AT,2017,550000,19890,Petrol,Dealer
Maruti Swift ZXI BSIV,2016,670000,7104,Petrol,Trustmark Dealer
Maruti Ertiga VXI,2015,625000,11918,Petrol,Trustmark Dealer
Hyundai Grand i10 Magna AT,2017,520000,10510,Petrol,Dealer
Chevrolet Beat LT Option,2016,239000,41000,Petrol,Dealer
Toyota Fortuner 4x2 AT,2017,2600000,47162,Diesel,Trustmark Dealer
Maruti S-Cross Zeta DDiS 200 SH,2015,750000,45974,Diesel,Trustmark Dealer
Hyundai i10 Magna,2012,229999,49824,Petrol,Dealer
Audi A6 2.0 TDI Premium Plus,2013,1300000,58500,Diesel,Dealer
Hyundai Santro GS,2005,80000,56580,Petrol,Dealer
Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer
Hyundai Verna 1.6 VTVT SX,2015,760000,55340,Petrol,Trustmark Dealer
Maruti Swift Dzire VDI,2017,600000,46507,Diesel,Trustmark Dealer
Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer
Mercedes-Benz C-Class Progressive C 220d,2018,3800000,10000,Diesel,Dealer
Audi A4 3.0 TDI Quattro,2013,1580000,86000,Diesel,Dealer
